account,total_trades,profit_trades,avg_pnl,med_pnl,avg_size_usd,avg_fee,win_rate,pnl_std,sharpe_like
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1373,419.1277684596647,0.0,16159.57673389209,1.9395789167103195,0.3596123624934521,4692.452328769463,0.08931955811035087
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,3223,6.5776539167582415,0.0,1653.2263269230768,0.37497773194093403,0.4427197802197802,134.07347277629353,0.04906006968048211
0x271b280974205ca63b716753467d5a371de622ab,3809,1150,-18.49204287687057,0.0,8893.000897873459,2.436593029666579,0.3019165135206091,542.1826592941622,-0.034106666009772864
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,5838,9.951529904139434,0.0,507.6269326121253,0.16665670246043873,0.43858462925400044,113.26935264594304,0.0878572153154087
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,1684,52.0710111126891,0.429,3138.894782340228,0.9596161537511578,0.5199135535659154,255.82909123366827,0.20353827182587741
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,371,-38.28662574969325,0.0,1729.9411042944785,0.18045983236809818,0.45521472392638035,558.7787526232372,-0.06851839940206159
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,1176,4.0281190682641395,0.0,4790.5754862078575,0.40642438731401503,0.32766787405962666,730.495483644371,0.005514228572862259
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,158,161.13327482831323,0.0,3445.471265060241,0.5309463130030121,0.4759036144578313,1279.8557881354639,0.1258995554983047
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,90,520.9023308929503,0.0,5189.367127937337,0.6996529738355091,0.2349869451697128,2228.336140282739,0.23376290563892332
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,599,336.735547567502,0.0,2397.824753435732,0.6038859587712208,0.48423605497170574,1649.4975803457908,0.2041443113221825
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,3011,12.130967972884141,0.0,517.5289235825802,0.14448251217066557,0.35344524005164923,88.29284150392282,0.13739469436157825
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,2118,155.58931373806246,0.0,9084.699093204776,1.842514323735078,0.48622589531680444,855.3540027082513,0.18190049177913276
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,2733,40.740489150316456,0.0,17098.171054852322,5.36978736853903,0.3603639240506329,656.6936282172401,0.06203880683425347
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,4909,68.68441935403726,0.0,34396.58028440667,6.245884512233573,0.40119320039228507,639.4024436908079,0.10741970105316515
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,421,111.51919668923077,0.0,746.7256512820513,0.19162674557169232,0.4317948717948718,468.9959817825797,0.23778284040968992
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,550,270.0349471163522,0.0,7216.667245283019,0.9757467083584905,0.34591194968553457,2525.2404372348287,0.10693435093726643
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,438,281.8262266846154,0.0,2133.6673636363635,0.20280492878321676,0.3062937062937063,1591.523957653427,0.17707947488265788
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,8022,38.3195599627009,7.722845,2600.7780491256444,0.26233287594056404,0.8108763772364298,172.52077341762578,0.2221156281841931
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,705,9.557692781911483,0.0,3748.8675112251444,0.5004598479538165,0.45221295702373315,72.5611952371814,0.1317190648601977
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,1761,-36.43145507085416,0.0,2204.6855314062163,0.3432700395392306,0.38274288198217776,1647.7789842055993,-0.022109430585070727
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,631,34.2823955552067,0.0,6279.002286760858,1.7712622807849294,0.33019361590790164,325.75560971336085,0.10523961685653627
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,3929,2.928191023869849,0.0,820.4285131350847,0.25286992235431394,0.26196826243499133,68.6130409480178,0.042676887416280104
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,871,41.47409637418087,0.0,3601.689298820446,0.9246260810157274,0.2853866317169069,220.3877348338997,0.18818695334951643
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,5396,6.81210350887536,0.0,1273.1950003204101,0.14661681724474207,0.3457866068567767,68.2349036218229,0.09983312274507088
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,239,174.6918088057554,8.418833,2066.6892086330936,0.4554868213669065,0.5731414868105515,976.068751360001,0.17897490167795083
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,230,120.50731710657195,0.0,2979.4417761989343,0.9746523350088809,0.40852575488454707,474.8098365007934,0.2538012228104225
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,172,40.746875941947565,0.0,8330.193370786517,1.0145048866037452,0.32209737827715357,288.26612386189584,0.1413515934370681
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,4967,145.48174829898866,0.0,3837.885375008484,1.0856796478531188,0.3371343243059798,1374.0264020518678,0.10587987834995839
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,2122,4.648305254443986,0.0,22504.555828854896,5.920457568210004,0.4386109962794543,332.0834053908585,0.01399740299868036
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,9909,44.364090516232544,0.0,3210.472831257078,0.40565806276986605,0.46758210645526616,567.7627628499143,0.07813842932119495
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,865,83.49831952025748,0.0,7852.098337750852,1.8073072640780008,0.32752745172283226,1530.5250331047494,0.05455534389452112
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,17208,20.806304824731235,0.0,1844.2118863229146,0.3322939405970038,0.428230141349791,264.1238803160226,0.07877479612883864
